feature,anova_f_score,anova_p_value,eta_squared,pca_importance,combined_weak_rank
Family financial status,0.2073682860484947,0.8128419442449545,0.0014429899351836267,0.01280816062998341,2.5
Can study outside city,0.006086257361283052,0.9939323546663594,4.241114450273604e-05,0.020277686646051996,3.0
Prefer job stability over risk,1.8430154807125034,0.16020826765807752,0.012680454403789893,0.007365410904600509,3.5
Can study in private university,0.565349717902132,0.5687928478380995,0.003924258810388181,0.016726142028086522,3.5
Prefer working with people over computers,0.9810082307956243,0.3761865162129966,0.006789876695963738,0.017286414509570493,4.5
Age,0.08465416439622507,0.9188529278384382,0.0005895766848405742,0.0273508748198292,5.0
Willing to compromise first choice,3.8707060039532997,0.021940461449988537,0.026265097785780206,0.023201790532343353,8.0
Interest: Programming/Tech,3.076141065462313,0.047661376763452175,0.020986642458328052,0.03003300727013609,8.5
Willing to follow parents' choice,5.137933074045978,0.006421580834925258,0.03456676884417148,0.02311027007063054,8.5
Interest: Languages/Literature,4.366120165863341,0.013554782758885237,0.029527522335514096,0.04574663716116865,11.5
Interest: Economics/Business,2.6526184922695615,0.07219391778029778,0.018149647400329445,0.04659256668798821,11.5
Interest: Arts,13.044701623195596,3.781301037964857e-06,0.08332892450486316,0.04537715218599921,12.0
Foreign language grade,21.1502890756105,2.701029994484808e-09,0.1284558271616389,0.04173215193487714,13.0
Arabic grade,21.64043065485268,1.7631248398249461e-09,0.13104259549910996,0.039763536871109985,13.0
Handle high academic pressure,16.653833681639725,1.435951099118079e-07,0.1039864816145762,0.0459970436919242,14.0
Interest: Humanities,22.748733035743978,6.751890650601356e-10,0.13683552722686274,0.05041786942638492,17.0
Interest: Law,16.07793712133604,2.407932537377985e-07,0.10075288233053847,0.05636285448654513,17.5
Prefer theoretical study,26.16125683973501,3.6570696983082416e-11,0.15419700011091741,0.05074768477014889,18.0
Priority: Job stability,49.07179742630805,4.668718014583307e-19,0.2548233857820561,0.051816024394883364,20.5
Priority: Income,67.454002344494,9.711870480416823e-25,0.31975692138961964,0.04643706862483973,20.5
Interest: Math/Logic,32.60866654997441,1.7326595308757153e-13,0.18516219098576298,0.0629823851082587,22.0
Enjoy solving complex problems,45.82830856898035,5.34337510316376e-18,0.24205734956050245,0.06231360899946361,22.5
Interest: Medicine/Health,54.36129390902278,9.560191099267641e-21,0.2747444577716057,0.061212549373265486,23.0
Priority: Social status,60.60665905216852,1.105969984195613e-22,0.296936216258764,0.055176006105016266,23.0
Interest: Chemistry/Biology,43.476390023722104,3.2125228829158975e-17,0.23252342190479855,0.06714763411257642,23.5
Priority: Work in field I love,140.27011791744627,3.2175996038577557e-43,0.4943089813221747,0.05465179022644426,24.5
Interest: Physics/Engineering,59.70926038115545,2.0814033505937619e-22,0.29383139463802005,0.06689546731416612,25.0
Math grade,80.89136768751501,1.3767842967766012e-28,0.3604923331995706,0.07182798933145136,27.5
Chemistry grade,111.817535396343,1.2364468777846059e-36,0.43795478137748234,0.07567384568521271,28.5
Physics grade,156.26136082922235,1.2329395676846843e-46,0.5212858668540884,0.0767496801659736,30.0
