العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها_encoded,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟_encoded,هل يمكنك الدراسة في جامعة خاصة؟_encoded,القدرة المادية للعائلة_encoded,cluster
18,2,1,2,4,5,5,5,3,3,5,4,5,3,2,4,4,5,5,1,1,2,2,1,2,7,1,1,2,2,2,90.0,90.0,90.0,60.0,90.0,1,1,0,0.5,1.0,0.5,1,1
19,2,1,2,2,5,5,4,3,3,4,2,1,1,1,4,5,5,5,1,1,1,1,2,1,6,2,1,3,1,2,80.0,89.0,87.0,89.0,96.0,1,2,0,1.0,0.5,1.0,1,1
18,2,4,2,5,5,3,1,1,4,1,5,3,3,1,5,5,4,1,1,1,1,1,4,3,5,1,1,1,2,1,100.0,0.0,0.0,95.0,100.0,0,0,0,0.5,1.0,0.0,0,2
18,2,1,2,1,1,2,5,5,1,2,3,1,1,1,3,5,5,2,2,1,1,1,1,1,1,0,1,1,1,1,80.0,80.0,90.0,90.0,90.0,0,0,1,0.0,0.5,0.0,0,1
18,2,1,2,1,4,3,3,3,3,4,1,4,2,2,5,4,4,4,2,2,1,1,1,2,6,0,1,1,0,1,99.0,99.0,100.0,90.0,90.0,0,0,1,0.0,0.0,0.0,0,1
18,2,1,1,3,4,4,5,5,3,5,2,1,1,1,4,4,5,5,4,4,1,1,1,1,1,1,1,1,1,2,95.0,100.0,100.0,98.0,95.0,1,1,1,0.5,0.5,0.5,1,1
19,2,1,2,1,5,4,5,5,3,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,0,1,1,0,2,100.0,100.0,100.0,90.0,100.0,0,2,1,0.0,0.0,1.0,1,1
18,2,1,2,3,5,3,5,5,5,2,2,4,4,1,4,4,5,3,3,1,1,1,1,2,4,0,1,1,0,1,99.0,100.0,100.0,100.0,100.0,1,0,1,0.0,0.0,0.0,0,1
18,2,1,2,5,4,4,4,4,2,1,3,3,1,1,4,3,3,2,1,1,1,2,3,1,1,1,1,1,2,2,95.0,98.0,100.0,100.0,100.0,0,1,1,0.5,1.0,0.5,1,1
17,2,1,2,4,3,2,4,3,1,1,2,1,2,2,3,3,3,4,1,1,1,1,3,1,2,1,1,1,2,2,92.0,84.0,100.0,98.0,96.0,1,1,3,0.5,1.0,0.5,1,1
18,2,1,2,4,2,2,1,1,2,5,5,3,4,3,3,2,2,1,2,2,1,1,1,2,3,0,1,1,0,2,75.0,60.0,85.0,80.0,75.0,0,1,1,0.0,0.0,0.5,1,2
18,2,1,2,1,4,2,5,4,2,1,1,2,1,1,3,4,5,5,4,2,1,1,1,4,2,1,1,2,2,1,99.16,99.0,100.0,85.0,88.0,0,0,1,0.5,1.0,0.0,0,1
18,2,1,1,4,4,3,5,5,2,2,1,2,3,1,5,5,5,4,2,3,1,1,1,2,5,0,1,2,0,1,100.0,95.0,100.0,95.0,95.0,0,0,1,0.0,0.0,0.0,0,1
17,2,1,2,3,3,4,5,5,5,4,1,5,2,2,2,4,4,2,1,2,1,3,1,3,7,2,1,4,1,1,60.0,90.0,100.0,100.0,100.0,1,0,0,1.0,0.5,0.0,0,1
18,2,1,2,2,4,3,5,1,2,1,1,1,1,2,3,5,5,1,3,3,4,3,1,2,5,0,1,1,0,2,90.0,96.0,84.0,75.0,88.0,1,0,1,0.0,0.0,0.0,1,0
18,2,1,2,3,4,4,4,5,4,4,3,1,2,1,4,2,3,3,1,2,1,2,1,2,3,1,1,1,0,1,99.0,99.0,100.0,99.0,95.0,1,1,1,0.5,0.0,0.5,0,1
17,2,1,2,1,3,4,5,2,5,5,1,5,1,3,3,5,5,2,2,2,1,3,1,2,3,0,1,3,0,1,99.0,100.0,100.0,65.0,100.0,0,0,1,0.0,0.0,0.0,0,1
18,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,3,3,1,1,6.0,0.0,10.0,80.0,30.0,1,0,2,1.0,0.5,0.0,0,2
19,2,1,2,5,4,4,3,3,1,1,2,1,1,1,5,3,5,5,1,3,1,1,3,2,1,0,1,1,1,2,99.0,97.0,96.0,90.0,93.0,0,0,3,0.0,0.5,0.0,1,1
