Timestamp,العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟
4/17/2026 15:14:41,18,2,1,2,4,5,5,5,3,3,5,4,5,3,2,4,4,5,5,1,1,2,2,1,2,7,1,1,2,2,2,90,90,90,60,90,1,1,0
4/17/2026 15:47:24,19,2,1,2,2,5,5,4,3,3,4,2,1,1,1,4,5,5,5,1,1,1,1,2,1,6,2,1,3,1,2,80,89,87,89,96,1,2,0
4/17/2026 15:48:16,18,2,4,2,5,5,3,1,1,4,1,5,3,3,1,5,5,4,1,1,1,1,1,4,3,5,1,1,1,2,1,100,0,0,95,100,0,0,0
4/17/2026 15:56:34,18,2,1,2,1,1,2,5,5,1,2,3,1,1,1,3,5,5,2,2,1,1,1,1,1,1,0,1,1,1,1,80,80,90,90,90,0,0,1
4/17/2026 15:59:04,18,2,1,2,1,4,3,3,3,3,4,1,4,2,2,5,4,4,4,2,2,1,1,1,2,6,0,1,1,0,1,99,99,100,90,90,0,0,1
4/17/2026 15:59:30,18,2,1,1,3,4,4,5,5,3,5,2,1,1,1,4,4,5,5,4,4,1,1,1,1,1,1,1,1,1,2,95,100,100,98,95,1,1,1
4/17/2026 16:02:17,19,2,1,2,1,5,4,5,5,3,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,0,1,1,0,2,100,100,100,90,100,0,2,1
4/17/2026 16:03:21,18,2,1,2,3,5,3,5,5,5,2,2,4,4,1,4,4,5,3,3,1,1,1,1,2,4,0,1,1,0,1,99,100,100,100,100,1,0,1
4/17/2026 16:13:46,18,2,1,2,5,4,4,4,4,2,1,3,3,1,1,4,3,3,2,1,1,1,2,3,1,1,1,1,1,2,2,95,98,100,100,100,0,1,1
4/17/2026 16:19:01,17,2,1,2,4,3,2,4,3,1,1,2,1,2,2,3,3,3,4,1,1,1,1,3,1,2,1,1,1,2,2,92,84,100,98,96,1,1,3
4/17/2026 16:35:45,18,2,1,2,4,2,2,1,1,2,5,5,3,4,3,3,2,2,1,2,2,1,1,1,2,3,0,1,1,0,2,75,60,85,80,75,0,1,1
4/17/2026 16:58:52,18,2,1,2,1,4,2,5,4,2,1,1,2,1,1,3,4,5,5,4,2,1,1,1,4,2,1,1,2,2,1,99.16,99,100,85,88,0,0,1
4/17/2026 16:59:31,18,2,1,1,4,4,3,5,5,2,2,1,2,3,1,5,5,5,4,2,3,1,1,1,2,5,0,1,2,0,1,100,95,100,95,95,0,0,1
